   BENCHMARK INFORMATION
CRA
benchmark definition:    benchmark-defs/CRA.xml
name:                    CRA
run sets:                thesis-all
date:                    Mon, 2023-04-17 19:05:32 EDT
tool:                    CRA
tool executable:         ~/fast/duet-IW/duet.exe
options:
resource limits:
- time:                  900 s
hardware requirements:
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    louvre
os:                      Linux-5.4.0-146-generic-x86_64-with-glibc2.29
cpu:                     Intel Xeon CPU E5-1607 v3 @ 3.10GHz
- cores:                 4
- max frequency:         3100.0 MHz
ram:                     33594.343424000006 MB
------------------------------------------------------------



thesis-all
Run set 1 of 1 with options '-cra' and propertyfile 'None'

inputfile                                                 status                       cpu time   wall time        host
-----------------------------------------------------------------------------------------------------------------------
locks/test_locks_10.yml                                   true                             2.73        2.65        None
locks/test_locks_11.yml                                   true                             3.44        3.36        None
locks/test_locks_12.yml                                   true                             4.09        4.02        None
locks/test_locks_13.yml                                   true                             4.09        4.01        None
locks/test_locks_14-1.yml                                 true                             6.88        6.81        None
locks/test_locks_14-2.yml                                 unknown                          6.23        6.16        None
locks/test_locks_15-1.yml                                 unknown                         10.32       10.25        None
locks/test_locks_15-2.yml                                 true                             8.35        8.27        None
locks/test_locks_5.yml                                    true                             0.78        0.71        None
locks/test_locks_6.yml                                    true                             1.08        1.00        None
locks/test_locks_7.yml                                    true                             1.31        1.24        None
locks/test_locks_8.yml                                    true                             1.76        1.68        None
locks/test_locks_9.yml                                    true                             2.40        2.33        None
loops/count_up_down-1.yml                                 true                             0.39        0.31        None
loops/count_up_down-2.yml                                 unknown                          0.39        0.33        None
loops/for_bounded_loop1.yml                               unknown                          0.56        0.49        None
loops/for_infinite_loop_1.yml                             true                             0.39        0.32        None
loops/for_infinite_loop_2.yml                             true                             0.39        0.32        None
loops/sum01-2.yml                                         true                             0.45        0.38        None
loops/sum01_bug02.yml                                     unknown                          0.51        0.43        None
loops/sum03-1.yml                                         unknown                          0.45        0.37        None
loops/sum03-2.yml                                         true                             0.38        0.30        None
loops/sum04-1.yml                                         unknown                          0.44        0.37        None
loops/sum04-2.yml                                         true                             0.40        0.32        None
loops/terminator_02-2.yml                                 true                             0.78        0.63        None
loops/terminator_02-2_abstracted.yml                      unknown                          0.41        0.33        None
loops/terminator_03-2.yml                                 true                             0.43        0.36        None
loops/terminator_03-2_abstracted.yml                      true                             0.35        0.27        None
loops/trex01-1.yml                                        unknown                          1.08        0.94        None
loops/trex01-2.yml                                        true                             1.16        1.00        None
loops/trex02-1.yml                                        true                             0.68        0.53        None
loops/trex02-2.yml                                        unknown                          0.68        0.53        None
loops/trex03-1.yml                                        unknown                          0.85        0.69        None
loops/trex03-2.yml                                        true                             0.85        0.69        None
loops/trex03-2_abstracted.yml                             unknown                          0.63        0.47        None
loops/trex04.yml                                          true                             0.81        0.66        None
loops/trex04_abstracted.yml                               true                             0.76        0.61        None
loops/while_infinite_loop_1.yml                           true                             0.34        0.27        None
loops/while_infinite_loop_2.yml                           true                             0.34        0.27        None
loops/while_infinite_loop_3.yml                           true                             0.60        0.45        None
loops/while_infinite_loop_4.yml                           unknown                          0.59        0.44        None
loop-acceleration/const_1-1.yml                           true                             0.41        0.33        None
loop-acceleration/const_1-2.yml                           unknown                          0.40        0.33        None
loop-acceleration/const_1-2_abstracted.yml                unknown                          0.31        0.23        None
loop-acceleration/diamond_1-1.yml                         unknown                          0.45        0.37        None
loop-acceleration/diamond_1-2.yml                         unknown                          0.45        0.37        None
loop-acceleration/diamond_2-2.yml                         unknown                          0.46        0.38        None
loop-acceleration/functions_1-1.yml                       true                             0.67        0.51        None
loop-acceleration/functions_1-2.yml                       unknown                          0.67        0.51        None
loop-acceleration/multivar_1-1.yml                        true                             0.38        0.30        None
loop-acceleration/multivar_1-2.yml                        unknown                          0.38        0.30        None
loop-acceleration/nested_1-1.yml                          true                             0.49        0.41        None
loop-acceleration/nested_1-2.yml                          unknown                          0.49        0.42        None
loop-acceleration/overflow_1-1.yml                        true                             0.38        0.31        None
loop-acceleration/phases_1-1.yml                          unknown                          0.39        0.32        None
loop-acceleration/phases_1-2.yml                          unknown                          0.39        0.32        None
loop-acceleration/phases_2-1.yml                          TIMEOUT                        181.30      181.24        None
loop-acceleration/phases_2-2.yml                          TIMEOUT                        181.33      181.25        None
loop-acceleration/simple_1-1.yml                          unknown                          0.38        0.31        None
loop-acceleration/simple_1-1_abstracted.yml               unknown                          0.31        0.23        None
loop-acceleration/simple_1-2.yml                          true                             0.38        0.30        None
loop-acceleration/simple_1-2_abstracted.yml               true                             0.31        0.23        None
loop-acceleration/simple_2-1.yml                          true                             0.36        0.29        None
loop-acceleration/simple_2-1_abstracted.yml               true                             0.31        0.23        None
loop-acceleration/simple_2-2.yml                          unknown                          0.37        0.29        None
loop-acceleration/simple_3-1.yml                          unknown                          0.64        0.48        None
loop-acceleration/simple_3-2.yml                          true                             0.63        0.48        None
loop-acceleration/simple_4-1.yml                          unknown                          0.40        0.32        None
loop-acceleration/simple_4-1_abstracted.yml               unknown                          0.31        0.23        None
loop-acceleration/simple_4-2.yml                          true                             0.40        0.33        None
loop-acceleration/simple_4-2_abstracted.yml               true                             0.31        0.23        None
loop-acceleration/underapprox_1-1.yml                     unknown                          0.41        0.34        None
loop-acceleration/underapprox_1-2.yml                     unknown                          0.41        0.34        None
loop-acceleration/underapprox_2-1.yml                     unknown                          0.41        0.34        None
loop-acceleration/underapprox_2-2.yml                     true                             0.41        0.34        None
loop-crafted/simple_vardep_1.yml                          true                             0.45        0.38        None
loop-crafted/simple_vardep_2.yml                          true                             0.48        0.41        None
loop-invgen/MADWiFi-encode_ie_ok.yml                      true                             0.70        0.63        None
loop-invgen/NetBSD_loop.yml                               true                             0.49        0.42        None
loop-invgen/SpamAssassin-loop.i.v+cfa-reducer.yml         TIMEOUT                        181.30      181.23        None
