   BENCHMARK INFORMATION
CRAMC
benchmark definition:    benchmark-defs/CRAMC.xml
name:                    CRAMC
run sets:                thesis-all
date:                    Tue, 2023-04-18 11:56:15 EDT
tool:                    CRAMC
tool executable:         ~/fast/duet-IW/duet.exe
options:
resource limits:
- time:                  900 s
hardware requirements:
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    louvre
os:                      Linux-5.4.0-146-generic-x86_64-with-glibc2.29
cpu:                     Intel Xeon CPU E5-1607 v3 @ 3.10GHz
- cores:                 4
- max frequency:         3100.0 MHz
ram:                     33594.343424000006 MB
------------------------------------------------------------



thesis-all
Run set 1 of 1 with options '-mcl-concolic' and propertyfile 'None'

inputfile                                                 status                       cpu time   wall time        host
-----------------------------------------------------------------------------------------------------------------------
locks/test_locks_10.yml                                   true                             2.72        2.66        None
locks/test_locks_11.yml                                   true                             3.21        3.14        None
locks/test_locks_12.yml                                   true                             3.80        3.73        None
locks/test_locks_13.yml                                   true                             3.74        3.67        None
locks/test_locks_14-1.yml                                 true                             6.43        6.36        None
locks/test_locks_14-2.yml                                 TIMEOUT                        181.13      181.07        None
locks/test_locks_15-1.yml                                 TIMEOUT                        181.12      181.07        None
locks/test_locks_15-2.yml                                 true                             7.74        7.67        None
locks/test_locks_5.yml                                    true                             0.75        0.68        None
locks/test_locks_6.yml                                    true                             1.03        0.96        None
locks/test_locks_7.yml                                    true                             1.24        1.17        None
locks/test_locks_8.yml                                    true                             1.65        1.58        None
locks/test_locks_9.yml                                    true                             2.17        2.11        None
loops/count_up_down-1.yml                                 true                             0.37        0.30        None
loops/count_up_down-2.yml                                 false                            0.37        0.30        None
loops/for_bounded_loop1.yml                               true                             0.68        0.62        None
loops/for_infinite_loop_1.yml                             true                             0.38        0.31        None
loops/for_infinite_loop_2.yml                             true                             0.38        0.31        None
loops/sum01-2.yml                                         true                             0.43        0.36        None
loops/sum01_bug02.yml                                     false                            0.52        0.45        None
loops/sum03-1.yml                                         false                            0.43        0.36        None
loops/sum03-2.yml                                         true                             0.36        0.29        None
loops/sum04-1.yml                                         false                            0.41        0.35        None
loops/sum04-2.yml                                         true                             0.38        0.32        None
loops/terminator_02-2.yml                                 true                             0.75        0.62        None
loops/terminator_02-2_abstracted.yml                      false                            0.40        0.33        None
loops/terminator_03-2.yml                                 true                             0.41        0.35        None
loops/terminator_03-2_abstracted.yml                      true                             0.34        0.27        None
loops/trex01-1.yml                                        unknown                          0.99        0.85        None
loops/trex01-2.yml                                        true                             1.10        0.96        None
loops/trex02-1.yml                                        true                             0.65        0.51        None
loops/trex02-2.yml                                        false                            0.66        0.53        None
loops/trex03-1.yml                                        false                            0.85        0.71        None
loops/trex03-2.yml                                        true                             0.81        0.67        None
loops/trex03-2_abstracted.yml                             false                            0.63        0.49        None
loops/trex04.yml                                          true                             0.78        0.64        None
loops/trex04_abstracted.yml                               true                             0.73        0.60        None
loops/while_infinite_loop_1.yml                           true                             0.33        0.26        None
loops/while_infinite_loop_2.yml                           true                             0.33        0.26        None
loops/while_infinite_loop_3.yml                           true                             0.57        0.43        None
loops/while_infinite_loop_4.yml                           false                            0.57        0.43        None
loop-acceleration/const_1-1.yml                           true                             0.39        0.32        None
loop-acceleration/const_1-2.yml                           false                            1.98        1.91        None
loop-acceleration/const_1-2_abstracted.yml                false                            0.29        0.22        None
loop-acceleration/diamond_1-1.yml                         true                             0.39        0.32        None
loop-acceleration/diamond_1-2.yml                         false                            0.55        0.48        None
loop-acceleration/diamond_2-2.yml                         true                             0.40        0.33        None
loop-acceleration/functions_1-1.yml                       true                             0.64        0.50        None
loop-acceleration/functions_1-2.yml                       TIMEOUT                        180.99      181.03        None
loop-acceleration/multivar_1-1.yml                        true                             0.36        0.30        None
loop-acceleration/multivar_1-2.yml                        false                            2.03        1.96        None
loop-acceleration/nested_1-1.yml                          true                             0.47        0.40        None
loop-acceleration/nested_1-2.yml                          TIMEOUT                        180.90      181.03        None
loop-acceleration/overflow_1-1.yml                        true                             0.37        0.29        None
loop-acceleration/phases_1-1.yml                          TIMEOUT                        180.91      181.03        None
loop-acceleration/phases_1-2.yml                          TIMEOUT                        180.91      181.03        None
loop-acceleration/phases_2-1.yml                          TIMEOUT                        181.23      181.17        None
loop-acceleration/phases_2-2.yml                          TIMEOUT                        181.20      181.18        None
loop-acceleration/simple_1-1.yml                          TIMEOUT                        180.86      181.02        None
loop-acceleration/simple_1-1_abstracted.yml               false                            0.29        0.22        None
loop-acceleration/simple_1-2.yml                          true                             0.37        0.30        None
loop-acceleration/simple_1-2_abstracted.yml               true                             0.30        0.23        None
loop-acceleration/simple_2-1.yml                          true                             0.35        0.29        None
loop-acceleration/simple_2-1_abstracted.yml               true                             0.30        0.24        None
loop-acceleration/simple_2-2.yml                          TIMEOUT                        180.91      181.02        None
loop-acceleration/simple_3-1.yml                          unknown                          0.60        0.46        None
loop-acceleration/simple_3-2.yml                          true                             0.61        0.47        None
loop-acceleration/simple_4-1.yml                          TIMEOUT                        180.79      181.02        None
loop-acceleration/simple_4-1_abstracted.yml               false                            0.29        0.23        None
loop-acceleration/simple_4-2.yml                          true                             0.38        0.32        None
loop-acceleration/simple_4-2_abstracted.yml               true                             0.30        0.23        None
loop-acceleration/underapprox_1-1.yml                     false                            0.40        0.34        None
loop-acceleration/underapprox_1-2.yml                     TIMEOUT                        181.00      181.03        None
loop-acceleration/underapprox_2-1.yml                     false                            0.40        0.33        None
loop-acceleration/underapprox_2-2.yml                     true                             0.39        0.33        None
loop-crafted/simple_vardep_1.yml                          true                             0.43        0.37        None
loop-crafted/simple_vardep_2.yml                          true                             0.46        0.39        None
loop-invgen/MADWiFi-encode_ie_ok.yml                      true                             0.73        0.66        None
loop-invgen/NetBSD_loop.yml                               true                             0.51        0.44        None
loop-invgen/SpamAssassin-loop.i.v+cfa-reducer.yml         TIMEOUT                        181.24      181.20        None
loop-invgen/SpamAssassin-loop.yml                         TIMEOUT                        181.17      181.12        None
loop-invgen/apache-escape-absolute.i.v+cfa-reducer.yml    true                             3.74        3.66        None
loop-invgen/apache-escape-absolute.yml                    true                             2.32        2.25        None
loop-invgen/apache-get-tag.i.p+lhb-reducer.yml            true                            10.74       10.66        None
