   BENCHMARK INFORMATION
CRAMC
benchmark definition:    benchmark-defs/CRAMC.xml
name:                    CRAMC
run sets:                loopy
date:                    Tue, 2023-04-18 23:16:14 EDT
tool:                    CRAMC
tool executable:         ~/fast/duet-IW/duet.exe
options:
resource limits:
- time:                  900 s
hardware requirements:
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    louvre
os:                      Linux-5.4.0-146-generic-x86_64-with-glibc2.29
cpu:                     Intel Xeon CPU E5-1607 v3 @ 3.10GHz
- cores:                 4
- max frequency:         3100.0 MHz
ram:                     33594.343424000006 MB
------------------------------------------------------------



loopy
Run set 1 of 1 with options '-mcl-concolic' and propertyfile 'None'

inputfile                                           status                       cpu time   wall time        host
-----------------------------------------------------------------------------------------------------------------
loops/count_up_down-1.yml                           true                             0.37        0.31        None
loops/count_up_down-2.yml                           false                            0.37        0.31        None
loops/for_bounded_loop1.yml                         true                             0.75        0.68        None
loops/for_infinite_loop_1.yml                       true                             0.38        0.31        None
loops/for_infinite_loop_2.yml                       true                             0.38        0.31        None
loops/sum01-2.yml                                   true                             0.43        0.36        None
loops/sum01_bug02.yml                               false                            2.12        2.05        None
loops/sum03-1.yml                                   false                            0.42        0.35        None
loops/sum03-2.yml                                   true                             0.36        0.30        None
loops/sum04-1.yml                                   false                            0.42        0.35        None
loops/sum04-2.yml                                   true                             0.38        0.31        None
loops/terminator_02-2.yml                           true                             0.75        0.60        None
loops/terminator_02-2_abstracted.yml                true                             0.39        0.33        None
loops/terminator_03-2.yml                           true                             0.41        0.35        None
loops/terminator_03-2_abstracted.yml                true                             0.33        0.27        None
loops/trex02-1.yml                                  true                             0.65        0.51        None
loops/trex02-2.yml                                  false                            0.66        0.52        None
loops/trex03-1.yml                                  false                            0.84        0.70        None
loops/trex03-2.yml                                  true                             0.81        0.67        None
loops/trex03-2_abstracted.yml                       true                             0.66        0.52        None
loops/trex04.yml                                    true                             0.78        0.63        None
loops/trex04_abstracted.yml                         true                             0.73        0.59        None
loops/while_infinite_loop_1.yml                     true                             0.32        0.26        None
loops/while_infinite_loop_2.yml                     true                             0.32        0.25        None
loops/while_infinite_loop_3.yml                     true                             0.57        0.43        None
loops/while_infinite_loop_4.yml                     false                            0.57        0.43        None
loop-zilu/benchmark02_linear.yml                    true                             0.39        0.33        None
loop-zilu/benchmark02_linear_abstracted.yml         true                             0.32        0.25        None
loop-zilu/benchmark04_conjunctive.yml               true                             0.45        0.39        None
loop-zilu/benchmark05_conjunctive.yml               TIMEOUT                        181.06      181.02        None
loop-zilu/benchmark09_conjunctive.yml               true                             0.45        0.38        None
loop-zilu/benchmark10_conjunctive.yml               true                             0.47        0.41        None
loop-zilu/benchmark11_linear.yml                    true                             0.41        0.34        None
loop-zilu/benchmark11_linear_abstracted.yml         true                             0.34        0.27        None
loop-zilu/benchmark14_linear.yml                    true                             0.39        0.32        None
loop-zilu/benchmark17_conjunctive.yml               true                             0.42        0.37        None
