   BENCHMARK INFORMATION
Mcmillan
benchmark definition:    benchmark-defs/Mcmillan.xml
name:                    Mcmillan
run sets:                thesis-all
date:                    Tue, 2023-04-18 14:48:24 EDT
tool:                    Mcmillan
tool executable:         ~/fast/duet-IW/duet.exe
options:
resource limits:
- time:                  900 s
hardware requirements:
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    louvre
os:                      Linux-5.4.0-146-generic-x86_64-with-glibc2.29
cpu:                     Intel Xeon CPU E5-1607 v3 @ 3.10GHz
- cores:                 4
- max frequency:         3100.0 MHz
ram:                     33594.343424000006 MB
------------------------------------------------------------



thesis-all
Run set 1 of 1 with options '-mcl-plain' and propertyfile 'None'

inputfile                                                 status                       cpu time   wall time        host
-----------------------------------------------------------------------------------------------------------------------
locks/test_locks_10.yml                                   true                             4.85        4.79        None
locks/test_locks_11.yml                                   true                             6.11        6.05        None
locks/test_locks_12.yml                                   true                             7.42        7.36        None
locks/test_locks_13.yml                                   true                             8.76        8.69        None
locks/test_locks_14-1.yml                                 true                            10.13       10.06        None
locks/test_locks_14-2.yml                                 false                            1.54        1.47        None
locks/test_locks_15-1.yml                                 false                            1.74        1.68        None
locks/test_locks_15-2.yml                                 true                            11.92       11.87        None
locks/test_locks_5.yml                                    true                             1.24        1.17        None
locks/test_locks_6.yml                                    true                             1.75        1.69        None
locks/test_locks_7.yml                                    true                             2.40        2.34        None
locks/test_locks_8.yml                                    true                             3.13        3.07        None
locks/test_locks_9.yml                                    true                             4.03        3.97        None
loops/count_up_down-1.yml                                 TIMEOUT                        180.95      181.02        None
loops/count_up_down-2.yml                                 false                            0.34        0.26        None
loops/for_bounded_loop1.yml                               true                             0.62        0.54        None
loops/for_infinite_loop_1.yml                             true                             0.39        0.32        None
loops/for_infinite_loop_2.yml                             true                             0.39        0.31        None
loops/sum01-2.yml                                         TIMEOUT                        180.98      181.02        None
loops/sum01_bug02.yml                                     false                            1.93        1.86        None
loops/sum03-1.yml                                         false                           17.79       17.73        None
loops/sum03-2.yml                                         true                             0.39        0.32        None
loops/sum04-1.yml                                         false                            0.82        0.75        None
loops/sum04-2.yml                                         true                             1.09        1.02        None
loops/terminator_02-2.yml                                 unknown                          0.86        0.72        None
loops/terminator_02-2_abstracted.yml                      false                            0.39        0.32        None
loops/terminator_03-2.yml                                 true                             0.42        0.35        None
loops/terminator_03-2_abstracted.yml                      true                             0.34        0.27        None
