   BENCHMARK INFORMATION
Ultimate
benchmark definition:    benchmark-defs/Ultimate.xml
name:                    Ultimate
run sets:                thesis-all
date:                    Mon, 2023-04-17 20:43:44 EDT
tool:                    Ultimate 0.2.3-863304a1
tool executable:         /home/rjf/fast/ultimate/UAutomizer-linux/Ultimate.py
options:
resource limits:
- time:                  900 s
hardware requirements:
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    louvre
os:                      Linux-5.4.0-146-generic-x86_64-with-glibc2.29
cpu:                     Intel Xeon CPU E5-1607 v3 @ 3.10GHz
- cores:                 4
- max frequency:         3100.0 MHz
ram:                     33594.343424000006 MB
------------------------------------------------------------



thesis-all
Run set 1 of 1 with options '' and propertyfile 'None'

inputfile                                                 status                       cpu time   wall time        host
-----------------------------------------------------------------------------------------------------------------------
locks/test_locks_10.yml                                   true                            28.10       10.20        None
locks/test_locks_11.yml                                   true                            34.54       14.10        None
locks/test_locks_12.yml                                   true                            45.28       22.62        None
locks/test_locks_13.yml                                   true                            74.75       41.95        None
locks/test_locks_14-1.yml                                 true                           138.99       86.10        None
locks/test_locks_14-2.yml                                 false(unreach-call)             12.77        4.88        None
locks/test_locks_15-1.yml                                 false(unreach-call)             12.88        4.93        None
locks/test_locks_15-2.yml                                 TIMEOUT (true)                 286.60      180.65        None
locks/test_locks_5.yml                                    true                            13.24        5.08        None
locks/test_locks_6.yml                                    true                            13.71        5.21        None
locks/test_locks_7.yml                                    true                            15.45        5.69        None
locks/test_locks_8.yml                                    true                            16.83        6.24        None
locks/test_locks_9.yml                                    true                            19.93        7.46        None
loops/count_up_down-1.yml                                 TIMEOUT                        202.33      181.00        None
loops/count_up_down-2.yml                                 false(unreach-call)             10.11        4.28        None
loops/for_bounded_loop1.yml                               false(unreach-call)             12.21        4.83        None
loops/for_infinite_loop_1.yml                             true                            11.47        4.42        None
loops/for_infinite_loop_2.yml                             true                            10.81        4.43        None
loops/sum01-2.yml                                         true                            16.04        6.42        None
loops/sum01_bug02.yml                                     false(unreach-call)             19.94        7.86        None
loops/sum03-1.yml                                         false(unreach-call)             16.89        6.79        None
loops/sum03-2.yml                                         true                            12.66        5.14        None
loops/sum04-1.yml                                         false(unreach-call)             12.81        5.36        None
loops/sum04-2.yml                                         true                            15.05        6.51        None
loops/terminator_02-2.yml                                 true                            11.03        4.50        None
loops/terminator_02-2_abstracted.yml                      true                            11.44        4.65        None
loops/terminator_03-2.yml                                 true                            11.35        4.43        None
loops/terminator_03-2_abstracted.yml                      true                            10.65        4.44        None
loops/trex01-1.yml                                        false(unreach-call)              9.84        4.28        None
loops/trex01-2.yml                                        true                            11.54        4.56        None
loops/trex02-1.yml                                        true                            11.13        4.44        None
loops/trex02-2.yml                                        false(unreach-call)             11.06        4.33        None
loops/trex03-1.yml                                        false(unreach-call)             10.14        4.26        None
loops/trex03-2.yml                                        true                            11.37        4.60        None
loops/trex03-2_abstracted.yml                             true                            12.38        4.79        None
loops/trex04.yml                                          true                            11.52        4.54        None
loops/trex04_abstracted.yml                               true                            11.59        4.57        None
loops/while_infinite_loop_1.yml                           true                            11.34        4.42        None
loops/while_infinite_loop_2.yml                           true                            11.17        4.46        None
loops/while_infinite_loop_3.yml                           true                            10.77        4.41        None
loops/while_infinite_loop_4.yml                           false(unreach-call)             10.47        4.34        None
loop-acceleration/const_1-1.yml                           true                            15.89        7.16        None
loop-acceleration/const_1-2.yml                           TIMEOUT                        198.50      181.01        None
loop-acceleration/const_1-2_abstracted.yml                false(unreach-call)             10.13        4.25        None
loop-acceleration/diamond_1-1.yml                         true                            51.13       29.80        None
loop-acceleration/diamond_1-2.yml                         TIMEOUT                        204.44      181.00        None
loop-acceleration/diamond_2-2.yml                         true                            18.31        7.07        None
loop-acceleration/functions_1-1.yml                       true                            32.72       18.18        None
loop-acceleration/functions_1-2.yml                       TIMEOUT                        197.53      181.00        None
loop-acceleration/multivar_1-1.yml                        true                            10.82        4.51        None
loop-acceleration/multivar_1-2.yml                        false(unreach-call)             10.14        4.23        None
loop-acceleration/nested_1-1.yml                          true                            46.19       25.20        None
loop-acceleration/nested_1-2.yml                          TIMEOUT                        202.96      181.00        None
loop-acceleration/overflow_1-1.yml                        true                            13.52        5.40        None
loop-acceleration/phases_1-1.yml                          TIMEOUT                        205.89      181.01        None
loop-acceleration/phases_1-2.yml                          TIMEOUT                        199.67      181.00        None
loop-acceleration/phases_2-1.yml                          false(unreach-call)             10.75        4.30        None
loop-acceleration/phases_2-2.yml                          true                            17.97        9.66        None
loop-acceleration/simple_1-1.yml                          TIMEOUT                        195.66      181.00        None
loop-acceleration/simple_1-1_abstracted.yml               false(unreach-call)             10.58        4.31        None
loop-acceleration/simple_1-2.yml                          true                            14.99        6.30        None
loop-acceleration/simple_1-2_abstracted.yml               true                            11.63        4.56        None
loop-acceleration/simple_2-1.yml                          true                            11.01        4.42        None
loop-acceleration/simple_2-1_abstracted.yml               true                            11.31        4.50        None
loop-acceleration/simple_2-2.yml                          false(unreach-call)              9.99        4.20        None
loop-acceleration/simple_3-1.yml                          false(unreach-call)              9.94        4.25        None
loop-acceleration/simple_3-2.yml                          true                            14.01        5.40        None
loop-acceleration/simple_4-1.yml                          TIMEOUT                        194.06      181.00        None
loop-acceleration/simple_4-1_abstracted.yml               false(unreach-call)             11.15        4.67        None
loop-acceleration/simple_4-2.yml                          true                            13.00        5.24        None
loop-acceleration/simple_4-2_abstracted.yml               true                            11.79        4.59        None
loop-acceleration/underapprox_1-1.yml                     false(unreach-call)             14.18        6.08        None
loop-acceleration/underapprox_1-2.yml                     TIMEOUT                        191.55      181.00        None
loop-acceleration/underapprox_2-1.yml                     false(unreach-call)             14.35        6.13        None
loop-acceleration/underapprox_2-2.yml                     true                            13.22        5.48        None
loop-crafted/simple_vardep_1.yml                          true                            13.06        5.15        None
loop-crafted/simple_vardep_2.yml                          true                            15.13        6.39        None
loop-invgen/MADWiFi-encode_ie_ok.yml                      true                            17.13        6.76        None
loop-invgen/NetBSD_loop.yml                               true                            14.47        5.81        None
loop-invgen/SpamAssassin-loop.i.v+cfa-reducer.yml         TIMEOUT                        197.02      181.00        None
loop-invgen/SpamAssassin-loop.yml                         true                            15.90        6.10        None
loop-invgen/apache-escape-absolute.i.v+cfa-reducer.yml    true                            47.30       30.23        None
loop-invgen/apache-escape-absolute.yml                    true                            15.75        5.94        None
loop-invgen/apache-get-tag.i.p+lhb-reducer.yml            true                            26.15        9.14        None
loop-invgen/apache-get-tag.i.p+nlh-reducer.yml            true                            54.19       22.03        None
loop-invgen/apache-get-tag.i.p+sep-reducer.yml            true                            94.80       52.29        None
loop-invgen/apache-get-tag.i.v+lhb-reducer.yml            true                           154.14      133.75        None
