tool		CRAMC 	CRAMC 	CRAMC 	CRAMC 	CRAMC 	Mcmillan 	Mcmillan 	Mcmillan 	Mcmillan 	Mcmillan 	Ultimate 0.2.3-863304a1	Ultimate 0.2.3-863304a1	Ultimate 0.2.3-863304a1	Ultimate 0.2.3-863304a1	Ultimate 0.2.3-863304a1
run set		CRAMC.thesis-all	CRAMC.thesis-all	CRAMC.thesis-all	CRAMC.thesis-all	CRAMC.thesis-all	Mcmillan.accel	Mcmillan.accel	Mcmillan.accel	Mcmillan.accel	Mcmillan.accel	Ultimate.thesis-all	Ultimate.thesis-all	Ultimate.thesis-all	Ultimate.thesis-all	Ultimate.thesis-all
tasks/		status	cputime (s)	walltime (s)	memory (MB)	cpuenergy (J)	status	cputime (s)	walltime (s)	memory (MB)	cpuenergy (J)	status	cputime (s)	walltime (s)	memory (MB)	cpuenergy (J)
locks/test_locks_10.yml	true	true	2.724956148	2.6633292860060465	1083.801600	75.586670						true	28.097611317	10.204347355000209	1513.037824	406.816895
locks/test_locks_11.yml	true	true	3.20697618	3.1439441229886143	1175.588864	87.674866						true	34.544312339	14.103074988997832	2484.817920	534.502686
locks/test_locks_12.yml	true	true	3.801661419	3.734371847996954	1268.060160	100.097229						true	45.282987655	22.623745195000083	5177.028608	780.587219
locks/test_locks_13.yml	true	true	3.738997826	3.6711497559881536	1361.162240	103.264160						true	74.751904004	41.95215726199967	8324.493312	1382.745422
locks/test_locks_14-1.yml	true	true	6.428195504	6.358351843999117	1453.686784	169.139221						true	138.985963302	86.10382392099928	14001.287168	2730.633362
locks/test_locks_14-2.yml	false	TIMEOUT	181.131452101	181.06959420199564	1511.272448	4768.515320						false(unreach-call)	12.769620803	4.876198710000608	309.518336	186.092773
locks/test_locks_15-1.yml	false	TIMEOUT	181.119328152	181.07197090498812	1595.289600	4743.636536						false(unreach-call)	12.876244353	4.926472015999025	286.752768	187.681946
locks/test_locks_15-2.yml	true	true	7.737494327	7.667230885010213	1547.341824	200.538330						TIMEOUT (true)	286.601508568	180.6487398140016	16360.550400	5683.973938
locks/test_locks_5.yml	true	true	0.748062041	0.6841425020102179	628.568064	18.246765						true	13.242107336	5.079053306999413	280.522752	192.329102
locks/test_locks_6.yml	true	true	1.028798129	0.9642251469922485	718.868480	26.946106						true	13.706515791	5.207573460000276	284.348416	200.159912
locks/test_locks_7.yml	true	true	1.235235758	1.1738618680101354	810.229760	32.245178						true	15.448712454	5.691853003001597	319.512576	223.472961
locks/test_locks_8.yml	true	true	1.648974463	1.5784668590058573	901.165056	43.824341						true	16.834055954	6.243988369002182	384.372736	246.660706
locks/test_locks_9.yml	true	true	2.173728156	2.1062345569953322	992.768000	58.041565						true	19.933387396	7.463715969999612	679.817216	291.610840
loops/count_up_down-1.yml	true	true	0.370120682	0.3025745210034074	199.319552	8.883789						TIMEOUT	202.334779181	181.0046047709984	426.684416	5034.175720
loops/count_up_down-2.yml	false	false	0.372583671	0.30300645300303586	198.619136	8.951355						false(unreach-call)	10.109571565	4.276827259000129	261.902336	153.419189
loops/for_bounded_loop1.yml	false	true	0.683900236	0.6166145210008835	510.083072	16.815247						false(unreach-call)	12.210374115	4.8344324360004975	286.322688	179.353149
loops/for_infinite_loop_1.yml	true	true	0.378000795	0.3122612239967566	216.702976	9.001099						true	11.472614349	4.418789060000563	270.508032	166.737915
loops/for_infinite_loop_2.yml	true	true	0.376704599	0.310070610998082	216.711168	9.061890						true	10.805183226	4.43462138799805	275.992576	163.475891
loops/sum01-2.yml	true	true	0.431529048	0.3619540459912969	288.321536	10.240417						true	16.040976891	6.421237046000897	358.580224	236.976196
loops/sum01_bug02.yml	false	false	0.515311961	0.4472250310063828	324.562944	12.403931						false(unreach-call)	19.939532246	7.857564811001794	354.848768	291.883667
loops/sum03-1.yml	false	false	0.427239107	0.36436152199166827	199.950336	10.492310						false(unreach-call)	16.886007934	6.793284909002978	308.264960	250.696228
loops/sum03-2.yml	true	true	0.361803249	0.293207776005147	163.577856	8.547485						true	12.657894122	5.136417761001212	307.171328	188.744873
loops/sum04-1.yml	false	false	0.413099828	0.34758202100056224	234.532864	10.103882						false(unreach-call)	12.811677137	5.361323018998519	292.999168	190.822937
